Step,Body,X,Y,Z,Mass
122,2,-78456042139.5783,126517371875.00049,0,73476730900000000000000
123,0,698825.9892933647,582282.4447831579,0,1989000000000000000000000000000
123,1,-80308916859.38638,125035115548.37753,0,5972000000000000000000000
123,2,-80685106014.26202,125060265814.42113,0,73476730900000000000000
124,0,705436.9036219823,594387.7663712724,0,1989000000000000000000000000000
124,1,-82483840003.04114,123627529306.64354,0,5972000000000000000000000
124,2,-82869029873.54051,123564169256.14885,0,73476730900000000000000
125,0,711972.1295666238,606606.5217599431,0,1989000000000000000000000000000
125,1,-84634098665.67401,122182581928.66205,0,5972000000000000000000000
125,2,-85008750418.02689,122034060247.87091,0,73476730900000000000000
126,0,718429.7149002277,618937.3543641454,0,1989000000000000000000000000000
126,1,-86759023402.19022,120700676004.39091,0,5972000000000000000000000
126,2,-87105832040.68526,120473939789.38974,0,73476730900000000000000
127,0,724807.7323554743,631378.8738109663,0,1989000000000000000000000000000
127,1,-88857949427.52043,119182235728.61604,0,5972000000000000000000000
127,2,-89162136034.65071,118886967526.75352,0,73476730900000000000000
128,0,731104.2802159137,643929.6564222426,0,1989000000000000000000000000000
128,1,-90930219084.35115,117627704694.34895,0,5972000000000000000000000
128,2,-91179636024.17387,117275628034.3231,0,73476730900000000000000
129,0,737317.4828972486,656588.2457072937,0,1989000000000000000000000000000
129,1,-92975183085.10095,116037543923.26167,0,5972000000000000000000000
129,2,-93160332755.16212,115641877557.79536,0,73476730900000000000000
130,0,743445.49151848,669353.1528655621,0,1989000000000000000000000000000
130,1,-94992201016.772,114412230347.05237,0,5972000000000000000000000
130,2,-95106228522.95677,113987253838.5184,0,73476730900000000000000
131,0,749486.4844626547,682222.8572989837,0,1989000000000000000000000000000
131,1,-96980641449.63905,112752255766.23949,0,5972000000000000000000000
131,2,-97019333517.68823,112312946870.27953,0,73476730900000000000000
132,0,755438.6679269733,695195.8071339026,0,1989000000000000000000000000000
132,1,-98939881871.68018,111058126246.05354,0,5972000000000000000000000
132,2,-98901686044.88986,110619833871.54445,0,73476730900000000000000
133,0,761300.2764620314,708270.4197523413,0,1989000000000000000000000000000
133,1,-100869308595.94534,109330361896.31425,0,5972000000000000000000000
133,2,-100755374651.48134,108908482795.09065,0,73476730900000000000000
134,0,767069.573499974,721445.0823324344,0,1989000000000000000000000000000
134,1,-102768316750.22551,107569496987.23132,0,5972000000000000000000000
134,2,-102582553262.48116,107179128286.61287,0,73476730900000000000000
135,0,772744.8518713508,734718.152397831,0,1989000000000000000000000000000
135,1,-104636310446.48386,105776080358.12225,0,5972000000000000000000000
135,2,-104385441401.22932,105431623592.95079,0,73476730900000000000000
136,0,778324.4343104621,748087.958375883,0,1989000000000000000000000000000
136,1,-106472703232.50665,103950676071.95914,0,5972000000000000000000000
136,2,-106166301159.97928,103665372252.17723,0,73476730900000000000000
137,0,783806.6739489962,761552.8001644411,0,1989000000000000000000000000000
